date,minTemp,maxTemp,precip
1948-06-16,286.75,296.65,4.80
1948-06-17,284.65,298.55,0.90
1948-06-18,286.55,293.95,15.60
1948-06-19,281.45,286.75,41.40
1948-06-20,279.15,283.05,25.90
1948-06-21,278.35,288.55,0.80
1948-06-22,278.35,293.95,8.80
1948-06-23,281.35,285.85,7.00
1948-06-24,279.95,285.85,2.20
1948-06-25,280.35,283.05,4.20
1948-06-26,279.35,290.35,0.00
1948-06-27,282.65,293.05,14.10
1948-06-28,281.35,287.65,1.10
1948-06-29,279.15,291.25,0.10
1948-06-30,279.35,290.35,7.50
1948-07-01,279.35,285.85,3.60
1948-07-02,280.25,290.35,1.10
1948-07-03,282.45,285.85,0.50
1948-07-04,277.35,294.85,0.00
1948-07-05,279.85,288.55,16.60
1948-07-06,279.35,284.05,13.50
1948-07-07,280.35,285.85,4.80
1948-07-08,281.55,292.15,5.90
1948-07-09,280.35,290.35,5.80
1948-07-10,280.05,285.85,2.00
1948-07-11,279.35,287.65,0.10
1948-07-12,279.25,294.85,0.00
1948-07-13,283.45,293.05,4.60
1948-07-14,284.65,292.15,21.10
1948-07-15,284.65,287.65,37.80
1948-07-16,281.55,285.85,4.90
1948-07-17,281.55,287.65,1.90
1948-07-18,280.35,287.65,2.00
1948-07-19,283.65,295.75,0.90
1948-07-20,284.45,301.45,0.00
1948-07-21,286.75,302.45,0.00
1948-07-22,287.35,302.45,12.20
1948-07-23,285.65,294.85,4.20
1948-07-24,283.65,299.55,23.20
1948-07-25,285.65,290.35,5.10
1948-07-26,283.65,297.65,0.00
1948-07-27,286.35,300.45,0.00
1948-07-28,284.65,301.45,0.00
1948-07-29,287.75,301.45,0.00
1948-07-30,287.75,299.55,2.60
1948-07-31,286.75,301.45,0.00
1948-08-01,285.65,301.45,0.00
1948-08-02,287.75,301.45,0.00
1948-08-03,286.75,294.85,14.40
1948-08-04,286.75,293.95,15.50
1948-08-05,286.75,293.95,3.00
1948-08-06,284.65,296.65,0.00
1948-08-07,285.65,298.55,0.00
1948-08-08,290.55,302.45,0.00
